rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,slider_values,block,choices,label_selected
null,imagesDupe/object1.jpg,null,image-button-response,29,2.0.0,52055,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,30,2.0.0,53062,"[""50"",""21"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,31,2.0.0,55066,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,32,2.0.0,56073,"[""50"",""21"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,33,2.0.0,58078,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,34,2.0.0,59088,"[""50"",""21"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,35,2.0.0,61093,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,36,2.0.0,62100,"[""50"",""21"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,37,2.0.0,64104,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object1.jpg,null,image-button-response,38,2.0.0,65111,"[""50"",""21"",""50""]",,,
null,imagesDupe/object1.jpg,null,image-button-response,39,2.0.0,67115,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,40,2.0.0,68122,"[""50"",""21"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,41,2.0.0,70126,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,42,2.0.0,71132,"[""50"",""21"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,43,2.0.0,73146,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,44,2.0.0,74155,"[""50"",""21"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,45,2.0.0,76160,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,46,2.0.0,77167,"[""50"",""21"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,47,2.0.0,79171,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,48,2.0.0,80177,"[""50"",""21"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,49,2.0.0,82181,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,50,2.0.0,83188,"[""50"",""21"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,51,2.0.0,85191,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,52,2.0.0,86198,"[""50"",""21"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,53,2.0.0,88204,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,54,2.0.0,89210,"[""50"",""21"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,55,2.0.0,91214,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,56,2.0.0,92220,"[""50"",""21"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,57,2.0.0,94225,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object2.jpg,null,image-button-response,58,2.0.0,95231,"[""50"",""21"",""50""]",,,
null,imagesDupe/object2.jpg,null,image-button-response,59,2.0.0,97235,"[""50"",""21"",""50""]",observation,,
null,imagesDupe/object4.jpg,null,image-button-response,60,2.0.0,98242,"[""50"",""21"",""50""]",,,
null,imagesDupe/object4.jpg,null,image-button-response,61,2.0.0,100246,"[""50"",""21"",""50""]",observation,,
4337,"<h3>Production Instructions</h3>  <p>Next, you will be shown the same objects again.   Please name these objects like you saw in the observation stage.   This will repeat several times.</p>",0,html-button-response,62,2.0.0,104589,"[""50"",""21"",""50""]",,,
3312,imagesDupe/object1.jpg,1,image-button-response,63,2.0.0,107906,"[""50"",""21"",""50""]",production,"[""pax"",""fep""]",fep
1311,imagesDupe/object1.jpg,0,image-button-response,64,2.0.0,109223,"[""50"",""21"",""50""]",,,
